Results for N = 40
Iteration,v_true,alpha_true,tau_true,v_est,alpha_est,tau_est,bias_v,bias_alpha,bias_tau,squared_error
111,0.983320,1.749843,0.176231,1.053579,1.646389,0.297305,-0.070260,0.103454,-0.121075,0.030298
112,1.515122,1.440030,0.199529,2.050998,1.786233,0.173733,-0.535876,-0.346203,0.025797,0.407685
113,1.540287,1.016525,0.151572,1.884051,1.032833,0.146395,-0.343764,-0.016308,0.005177,0.118466
114,1.075326,1.383006,0.166808,1.141793,1.214138,0.249316,-0.066467,0.168868,-0.082508,0.039742
115,1.735766,0.947303,0.216331,2.259856,0.972285,0.246649,-0.524091,-0.024982,-0.030317,0.276214
116,1.591748,1.394555,0.235134,1.023636,1.354284,0.179480,0.568112,0.040271,0.055654,0.327470
117,1.831961,1.993209,0.237093,1.973853,1.856046,0.351718,-0.141892,0.137163,-0.114625,0.052086
118,1.852076,1.038876,0.175370,1.984762,1.107047,0.088946,-0.132687,-0.068170,0.086424,0.029722
119,1.922127,1.877308,0.261357,1.921364,1.906751,0.241431,0.000763,-0.029443,0.019925,0.001264
120,0.842627,1.590753,0.152482,0.906985,1.709618,0.145230,-0.064357,-0.118865,0.007253,0.018323
121,1.601115,1.384539,0.167594,1.607981,1.366450,0.157809,-0.006866,0.018090,0.009785,0.000470
122,1.049887,1.475811,0.114945,1.333988,1.647110,0.099981,-0.284100,-0.171300,0.014965,0.110281
123,1.814816,0.883684,0.313893,2.126543,1.033238,0.285375,-0.311727,-0.149554,0.028519,0.120354
124,0.572880,1.992020,0.364788,0.366081,1.996520,0.357992,0.206800,-0.004500,0.006796,0.042833
125,1.480351,0.529613,0.375900,2.387182,0.518085,0.385338,-0.906831,0.011528,-0.009438,0.822564
126,1.125163,1.070381,0.318913,0.999122,0.970252,0.336156,0.126041,0.100128,-0.017243,0.026209
127,1.211595,0.729691,0.378077,0.953160,0.649460,0.417742,0.258434,0.080231,-0.039665,0.074799
128,1.445467,0.951675,0.364666,2.123350,1.034792,0.362554,-0.677883,-0.083117,0.002112,0.466438
129,1.493724,0.904966,0.342254,0.749728,0.825686,0.310542,0.743997,0.079280,0.031711,0.560822
130,0.705745,1.745979,0.141966,0.522760,1.854388,-0.003919,0.182985,-0.108409,0.145885,0.066518
131,1.578149,0.676602,0.145605,2.419733,0.804184,0.100302,-0.841583,-0.127582,0.045303,0.726592
132,0.659396,0.797970,0.179900,1.127705,0.859623,0.159517,-0.468309,-0.061653,0.020383,0.223530
133,0.894491,1.284719,0.180669,0.726759,1.165859,0.236094,0.167732,0.118860,-0.055425,0.045334
134,1.555155,0.943027,0.115762,1.669530,1.038976,0.121046,-0.114375,-0.095949,-0.005284,0.022316
135,1.244532,0.811541,0.473250,0.633658,0.806153,0.446261,0.610874,0.005388,0.026988,0.373924
136,0.995905,0.504107,0.368653,2.293041,0.479107,0.373928,-1.297136,0.025000,-0.005275,1.683214
137,1.860320,1.752848,0.367609,1.374275,1.598825,0.300707,0.486045,0.154023,0.066902,0.264439
138,0.723717,0.635124,0.304682,0.987393,0.626943,0.319845,-0.263676,0.008181,-0.015163,0.069822
139,1.585345,0.651936,0.202357,1.932967,0.717185,0.205573,-0.347622,-0.065249,-0.003216,0.125109
140,0.846740,1.982999,0.218409,0.731194,2.120637,0.001553,0.115546,-0.137638,0.216856,0.079322
141,1.196416,0.649713,0.169881,2.050030,0.676231,0.166654,-0.853614,-0.026518,0.003227,0.729370
142,0.559167,0.935851,0.420638,0.684725,0.904070,0.384677,-0.125558,0.031781,0.035962,0.018068
143,0.969061,1.607810,0.137999,0.709984,1.547376,0.124916,0.259077,0.060434,0.013083,0.070944
144,1.637306,0.568834,0.440799,1.781220,0.544234,0.437036,-0.143914,0.024600,0.003764,0.021331
145,1.495033,0.755768,0.243011,2.404313,0.913868,0.247378,-0.909281,-0.158099,-0.004367,0.851806
146,1.156572,1.432711,0.451390,1.207563,1.436447,0.522212,-0.050992,-0.003737,-0.070821,0.007630
147,0.639427,1.722446,0.173148,0.362323,1.708528,0.169522,0.277104,0.013918,0.003626,0.076993
148,1.101166,1.943465,0.208733,1.039845,1.668134,0.481300,0.061321,0.275330,-0.272567,0.153860
149,1.078573,1.776007,0.419960,0.784115,1.577272,0.282456,0.294458,0.198735,0.137504,0.145109
150,1.473270,1.695364,0.145223,1.477742,1.700097,0.158148,-0.004473,-0.004733,-0.012926,0.000209
151,1.544255,0.587970,0.476987,0.870108,0.587083,0.465887,0.674147,0.000887,0.011099,0.454598
152,0.739093,1.124042,0.336300,1.172344,1.182498,0.314362,-0.433251,-0.058456,0.021939,0.191605
153,1.703397,1.517590,0.172504,1.723774,1.457445,0.217662,-0.020377,0.060145,-0.045157,0.006072
154,1.069626,1.037898,0.111526,1.352740,1.146264,0.105390,-0.283114,-0.108366,0.006137,0.091934
155,1.526696,1.757805,0.489378,1.854462,1.975539,0.443905,-0.327766,-0.217734,0.045472,0.156906
156,0.695983,1.880597,0.145175,0.805273,1.925555,0.050204,-0.109290,-0.044958,0.094971,0.022985
157,1.116926,0.568958,0.204645,0.327240,0.613221,0.192343,0.789686,-0.044263,0.012302,0.625715
158,0.971357,1.556852,0.371172,1.387417,1.810779,0.306553,-0.416060,-0.253927,0.064619,0.241760
159,1.651293,1.364974,0.326005,2.006890,1.467165,0.311424,-0.355597,-0.102191,0.014580,0.137105
160,1.966843,1.504767,0.235320,2.017980,1.459102,0.268896,-0.051137,0.045665,-0.033576,0.005828
161,1.284655,1.550870,0.138097,1.804428,2.030318,0.058852,-0.519773,-0.479447,0.079245,0.506314
162,1.492570,0.872865,0.238300,1.665944,0.742379,0.288732,-0.173375,0.130486,-0.050432,0.049629
163,1.514443,1.077315,0.435613,1.024633,1.072201,0.398609,0.489811,0.005114,0.037004,0.241310
164,1.337516,1.981687,0.121826,1.219585,1.422288,0.239516,0.117931,0.559400,-0.117690,0.340687
165,1.465098,0.735391,0.439538,0.717544,0.711909,0.447934,0.747554,0.023483,-0.008396,0.559459
166,1.777807,1.804123,0.129946,1.891323,1.937037,0.054345,-0.113516,-0.132914,0.075601,0.036267
167,1.237472,0.861338,0.488058,1.666831,0.930267,0.462909,-0.429359,-0.068929,0.025149,0.189733
168,0.575526,0.834060,0.357327,0.750927,0.824367,0.300657,-0.175401,0.009693,0.056670,0.034071
169,1.104915,0.852500,0.283638,0.472948,0.857315,0.260123,0.631968,-0.004815,0.023515,0.399959
170,1.701892,1.172148,0.442636,2.435747,1.504081,0.352111,-0.733855,-0.331933,0.090525,0.656918
171,1.170602,0.678060,0.298949,1.281799,0.756281,0.283255,-0.111197,-0.078221,0.015695,0.018730
172,1.480060,0.653965,0.264935,0.157735,0.634504,0.257574,1.322325,0.019461,0.007361,1.748975
173,1.335697,0.500255,0.136358,1.461695,0.500027,0.122881,-0.125998,0.000227,0.013477,0.016057
174,1.406305,1.428599,0.221839,1.484699,1.692131,0.180684,-0.078394,-0.263532,0.041155,0.077289
175,1.262507,0.810277,0.368590,0.431260,0.700925,0.405923,0.831247,0.109352,-0.037333,0.704323
176,1.925533,1.045014,0.121710,2.467310,1.018237,0.187757,-0.541777,0.026777,-0.066047,0.298602
177,0.834377,1.181690,0.324060,0.585946,1.247363,0.226386,0.248431,-0.065673,0.097675,0.075571
178,1.429637,1.209701,0.362867,1.623773,1.198388,0.378856,-0.194136,0.011312,-0.015989,0.038072
179,1.573870,0.671035,0.403728,1.622363,0.677168,0.411673,-0.048493,-0.006133,-0.007945,0.002452
180,0.832621,1.012036,0.431954,0.291311,1.037658,0.474500,0.541310,-0.025623,-0.042546,0.295483
181,1.946651,0.937975,0.308794,1.855385,0.934901,0.311004,0.091265,0.003075,-0.002210,0.008344
182,1.553144,0.568667,0.165662,1.708506,0.567397,0.176936,-0.155362,0.001271,-0.011273,0.024266
183,0.710674,1.575284,0.388624,0.461686,1.583083,0.288157,0.248988,-0.007799,0.100467,0.072149
184,0.660442,1.416278,0.175017,0.674225,1.437799,0.145667,-0.013783,-0.021522,0.029350,0.001515
185,1.895324,1.089345,0.282818,2.184931,1.149833,0.228115,-0.289606,-0.060488,0.054704,0.090523
186,1.672131,1.575182,0.143106,2.029492,1.450826,0.204419,-0.357361,0.124356,-0.061313,0.146931
187,1.121706,1.889940,0.434986,1.264732,1.986434,0.421257,-0.143026,-0.096494,0.013730,0.029956
188,1.383217,1.658218,0.280202,1.266772,1.734507,0.243286,0.116445,-0.076289,0.036916,0.020742
189,1.487685,1.934285,0.153854,2.158495,3.199801,0.059725,-0.670810,-1.265516,0.094129,2.060377
190,1.248243,1.295547,0.119429,1.074186,1.290554,0.114058,0.174057,0.004993,0.005370,0.030350
191,1.902962,1.758224,0.293173,1.956659,1.504830,0.357108,-0.053697,0.253394,-0.063936,0.071180
192,1.262499,1.881743,0.170881,0.868754,1.784853,0.106367,0.393746,0.096891,0.064514,0.168586
193,1.367832,1.595742,0.151353,1.751652,1.680949,0.099371,-0.383821,-0.085207,0.051982,0.157281
194,1.081108,1.400819,0.453078,1.172619,1.322337,0.459988,-0.091510,0.078482,-0.006910,0.014581
195,1.256165,1.076994,0.491800,1.465396,1.058142,0.531974,-0.209231,0.018852,-0.040174,0.045747
196,1.873865,1.643562,0.209438,2.043614,1.792688,0.225822,-0.169748,-0.149126,-0.016384,0.051321
197,1.945390,1.955737,0.281138,1.764056,1.669130,0.246462,0.181334,0.286607,0.034676,0.116228
198,0.700058,1.119118,0.380006,0.849454,1.141204,0.414057,-0.149396,-0.022086,-0.034052,0.023967
199,1.622640,0.948370,0.380598,1.676055,1.034931,0.345530,-0.053415,-0.086561,0.035068,0.011576
200,1.791061,1.567812,0.474205,2.133159,1.717435,0.431563,-0.342098,-0.149623,0.042642,0.141236
201,1.448875,0.801334,0.349667,1.191276,0.813750,0.357063,0.257599,-0.012416,-0.007395,0.066566
202,0.935869,1.017940,0.368949,0.505988,1.009561,0.325256,0.429881,0.008380,0.043694,0.186777
203,1.972003,1.475130,0.483331,2.527853,1.449278,0.521587,-0.555850,0.025852,-0.038257,0.311101
204,1.255840,1.541468,0.228953,0.873740,1.586621,0.125379,0.382100,-0.045153,0.103574,0.158767
205,0.673108,1.028357,0.292148,1.154834,1.070944,0.324820,-0.481726,-0.042587,-0.032672,0.234941
206,1.355957,1.500736,0.266991,1.778439,1.412646,0.273349,-0.422482,0.088090,-0.006358,0.186291
207,1.621803,1.762084,0.214371,1.618853,1.818842,0.195690,0.002950,-0.056758,0.018681,0.003579
208,1.770952,1.712457,0.309092,1.543305,1.627873,0.335446,0.227646,0.084584,-0.026354,0.059672
209,0.537908,0.717990,0.368102,0.417460,0.724095,0.376463,0.120448,-0.006105,-0.008361,0.014615
210,0.799854,1.625278,0.164374,0.874713,1.584856,0.288844,-0.074859,0.040421,-0.124470,0.022731
211,0.929923,0.875842,0.435753,1.673170,0.828544,0.469779,-0.743247,0.047298,-0.034027,0.555811
212,1.535892,0.942711,0.401438,1.839612,1.057783,0.362930,-0.303720,-0.115072,0.038508,0.106970
213,0.548460,1.721039,0.140992,0.897972,1.543806,0.371946,-0.349512,0.177233,-0.230954,0.206910
214,1.802053,1.609239,0.445937,1.808918,1.627735,0.534363,-0.006865,-0.018496,-0.088426,0.008208
215,1.613619,1.341906,0.195038,2.030642,1.450004,0.210928,-0.417023,-0.108098,-0.015890,0.185846
216,1.676461,1.698233,0.215055,1.701374,1.730624,0.187325,-0.024913,-0.032391,0.027730,0.002439
217,1.496740,1.889727,0.255022,1.375574,1.826369,0.289309,0.121167,0.063358,-0.034287,0.019871
218,1.935053,1.963734,0.225062,2.016789,1.816532,0.254809,-0.081736,0.147202,-0.029747,0.029234
219,1.328187,0.519448,0.200536,2.368573,0.585287,0.183292,-1.040386,-0.065839,0.017245,1.087036
220,1.430843,1.671387,0.448047,1.018977,1.521719,0.503136,0.411865,0.149668,-0.055088,0.195068
221,1.744975,1.867230,0.381852,2.324620,2.971133,0.298644,-0.579645,-1.103904,0.083208,1.561514
222,1.471449,1.632662,0.318646,1.474807,1.703481,0.336831,-0.003358,-0.070820,-0.018185,0.005357
223,1.405080,1.664220,0.485716,1.925402,1.902752,0.555119,-0.520321,-0.238532,-0.069403,0.332448
224,0.941267,0.766139,0.373064,0.804796,0.769188,0.325411,0.136470,-0.003049,0.047653,0.020904
225,0.780465,0.760693,0.305539,0.000000,nan,nan,0.780465,nan,nan,nan
226,1.065797,1.142762,0.322639,0.912627,1.203791,0.202754,0.153171,-0.061030,0.119886,0.041558
227,0.695100,1.375979,0.202006,0.775916,1.415892,0.239036,-0.080816,-0.039912,-0.037030,0.009495
228,0.995844,1.564534,0.161922,1.111365,1.395219,0.212470,-0.115520,0.169315,-0.050548,0.044567
229,0.730555,0.983945,0.120342,0.656754,0.942574,0.070915,0.073801,0.041371,0.049427,0.009601
230,1.898573,1.423413,0.364756,1.705411,1.288384,0.416787,0.193162,0.135029,-0.052031,0.058252
231,1.235826,1.359015,0.243234,1.465340,1.499464,0.234214,-0.229513,-0.140449,0.009020,0.072484
232,1.676047,0.976789,0.187985,1.502555,0.823106,0.250362,0.173492,0.153682,-0.062377,0.057609
233,0.775804,0.602265,0.302056,1.520879,0.637395,0.288103,-0.745075,-0.035130,0.013953,0.556566
234,1.123897,1.305554,0.136778,1.320555,1.473555,0.149310,-0.196658,-0.168001,-0.012532,0.067056
235,0.831797,0.820031,0.232753,1.346969,0.918182,0.213330,-0.515172,-0.098151,0.019423,0.275413
236,1.041197,0.827668,0.401062,1.280942,0.756787,0.435466,-0.239745,0.070881,-0.034404,0.063685
237,1.295748,1.994947,0.429475,1.098232,2.000692,0.413883,0.197516,-0.005746,0.015592,0.039289
238,1.971700,0.513206,0.367575,1.739493,0.487095,0.386582,0.232207,0.026111,-0.019007,0.054963
239,1.168501,1.856745,0.345480,1.352137,2.177619,0.164617,-0.183636,-0.320874,0.180863,0.169394
240,1.431698,1.938345,0.373021,1.330269,1.888569,0.395947,0.101428,0.049776,-0.022926,0.013291
241,0.981406,1.873899,0.477995,0.823399,1.883167,0.536402,0.158007,-0.009269,-0.058407,0.028463
242,1.078814,1.310356,0.213132,0.993146,1.245298,0.261726,0.085668,0.065058,-0.048594,0.013933
243,1.867004,1.733164,0.249983,2.137313,1.714097,0.334295,-0.270309,0.019067,-0.084311,0.080539
244,1.704225,1.168335,0.117541,2.004739,1.253183,0.121319,-0.300514,-0.084848,-0.003778,0.097522
245,1.847422,0.788769,0.305558,2.082952,0.832761,0.272023,-0.235530,-0.043992,0.033534,0.058534
246,1.922318,0.751092,0.482510,1.332053,0.727749,0.471624,0.590265,0.023343,0.010887,0.349076
247,1.306962,0.510996,0.126189,1.775711,0.545922,0.112246,-0.468749,-0.034926,0.013943,0.221140
248,1.505503,1.660373,0.445980,1.905699,1.545070,0.641173,-0.400197,0.115303,-0.195193,0.211552
249,1.136314,0.655890,0.315102,1.543441,0.628077,0.310664,-0.407127,0.027813,0.004437,0.166546
250,1.554114,1.964336,0.410083,1.728314,2.119731,0.314505,-0.174200,-0.155395,0.095577,0.063628
251,1.469842,1.909627,0.398756,1.627368,2.251219,0.342422,-0.157526,-0.341592,0.056334,0.144673
252,0.730632,1.188838,0.232686,0.254122,1.189512,0.225564,0.476510,-0.000674,0.007122,0.227113
253,0.631281,0.581402,0.417686,0.907674,0.562786,0.423005,-0.276392,0.018617,-0.005319,0.076768
254,1.337126,1.362443,0.191058,1.693376,1.483608,0.144163,-0.356249,-0.121165,0.046895,0.143794
255,0.887972,1.082049,0.352087,1.207957,1.147636,0.307575,-0.319985,-0.065587,0.044512,0.108673
256,1.149538,0.525336,0.369319,2.078190,0.528639,0.364981,-0.928652,-0.003303,0.004338,0.862424
257,1.302252,1.462134,0.347340,1.245837,1.561930,0.347518,0.056415,-0.099796,-0.000179,0.013142
